"subject id"	"activity"	"variable"	"mean value"
1	"LAYING"	"tBodyAcc-mean()-X"	0.270128826
1	"LAYING"	"tBodyAcc-mean()-Y"	-0.0117332452336
1	"LAYING"	"tBodyAcc-mean()-Z"	-0.10791765988
1	"LAYING"	"tBodyAcc-std()-X"	-0.67332423744
1	"LAYING"	"tBodyAcc-std()-Y"	-0.66047617429
1	"LAYING"	"tBodyAcc-std()-Z"	-0.72448520552
1	"LAYING"	"tGravityAcc-mean()-X"	0.73389992464
1	"LAYING"	"tGravityAcc-mean()-Y"	0.06550542184
1	"LAYING"	"tGravityAcc-mean()-Z"	0.15812164884
1	"LAYING"	"tGravityAcc-std()-X"	-0.9560326752
1	"LAYING"	"tGravityAcc-std()-Y"	-0.9612483396
1	"LAYING"	"tGravityAcc-std()-Z"	-0.948294091
1	"LAYING"	"tBodyAccJerk-mean()-X"	0.106507791734
1	"LAYING"	"tBodyAccJerk-mean()-Y"	-0.0170168838133
1	"LAYING"	"tBodyAccJerk-mean()-Z"	-0.0244598591132
1	"LAYING"	"tBodyAccJerk-std()-X"	-0.68823153308
1	"LAYING"	"tBodyAccJerk-std()-Y"	-0.707157833
1	"LAYING"	"tBodyAccJerk-std()-Z"	-0.8273609848
1	"LAYING"	"tBodyGyro-mean()-X"	-0.006133584954
1	"LAYING"	"tBodyGyro-mean()-Y"	-0.100225767578
1	"LAYING"	"tBodyGyro-mean()-Z"	0.108029108836
1	"LAYING"	"tBodyGyro-std()-X"	-0.78050242168
1	"LAYING"	"tBodyGyro-std()-Y"	-0.73857892028
1	"LAYING"	"tBodyGyro-std()-Z"	-0.7291682266
1	"LAYING"	"tBodyGyroJerk-mean()-X"	-0.06923658303
1	"LAYING"	"tBodyGyroJerk-mean()-Y"	-0.0210463377
1	"LAYING"	"tBodyGyroJerk-mean()-Z"	-0.036455287358
1	"LAYING"	"tBodyGyroJerk-std()-X"	-0.795998726
1	"LAYING"	"tBodyGyroJerk-std()-Y"	-0.8592478938
1	"LAYING"	"tBodyGyroJerk-std()-Z"	-0.7941423944
1	"LAYING"	"tBodyAccMag-mean()"	-0.653917731192
1	"LAYING"	"tBodyAccMag-std()"	-0.671591482734
1	"LAYING"	"tGravityAccMag-mean()"	-0.653917731192
1	"LAYING"	"tGravityAccMag-std()"	-0.671591482734
1	"LAYING"	"tBodyAccJerkMag-mean()"	-0.71899827066
1	"LAYING"	"tBodyAccJerkMag-std()"	-0.701615263296
1	"LAYING"	"tBodyGyroMag-mean()"	-0.6782954638
1	"LAYING"	"tBodyGyroMag-std()"	-0.7374122098
1	"LAYING"	"tBodyGyroJerkMag-mean()"	-0.8286173426
1	"LAYING"	"tBodyGyroJerkMag-std()"	-0.8556065736
1	"LAYING"	"fBodyAcc-mean()-X"	-0.67287632008
1	"LAYING"	"fBodyAcc-mean()-Y"	-0.665421385244
1	"LAYING"	"fBodyAcc-mean()-Z"	-0.75792877014
1	"LAYING"	"fBodyAcc-std()-X"	-0.67453228478
1	"LAYING"	"fBodyAcc-std()-Y"	-0.68006721472
1	"LAYING"	"fBodyAcc-std()-Z"	-0.7296865038
1	"LAYING"	"fBodyAcc-meanFreq()-X"	-0.13106290004
1	"LAYING"	"fBodyAcc-meanFreq()-Y"	0.063071363944
1	"LAYING"	"fBodyAcc-meanFreq()-Z"	0.068782312282
1	"LAYING"	"fBodyAccJerk-mean()-X"	-0.69774679015
1	"LAYING"	"fBodyAccJerk-mean()-Y"	-0.7177492388774
1	"LAYING"	"fBodyAccJerk-mean()-Z"	-0.8119682086
1	"LAYING"	"fBodyAccJerk-std()-X"	-0.70660604076
1	"LAYING"	"fBodyAccJerk-std()-Y"	-0.7167578029
1	"LAYING"	"fBodyAccJerk-std()-Z"	-0.8413805414
1	"LAYING"	"fBodyAccJerk-meanFreq()-X"	0.03049362888
1	"LAYING"	"fBodyAccJerk-meanFreq()-Y"	-0.162284015716
1	"LAYING"	"fBodyAccJerk-meanFreq()-Z"	-0.043503856642
1	"LAYING"	"fBodyGyro-mean()-X"	-0.73430073532
1	"LAYING"	"fBodyGyro-mean()-Y"	-0.78096099018
1	"LAYING"	"fBodyGyro-mean()-Z"	-0.71542204614
1	"LAYING"	"fBodyGyro-std()-X"	-0.7965833276
1	"LAYING"	"fBodyGyro-std()-Y"	-0.7200688056
1	"LAYING"	"fBodyGyro-std()-Z"	-0.7591343744
1	"LAYING"	"fBodyGyro-meanFreq()-X"	-0.075448994792
1	"LAYING"	"fBodyGyro-meanFreq()-Y"	-0.19718382742
1	"LAYING"	"fBodyGyro-meanFreq()-Z"	-0.0776877789886
1	"LAYING"	"fBodyAccMag-mean()"	-0.663954512176
1	"LAYING"	"fBodyAccMag-std()"	-0.7279939522
1	"LAYING"	"fBodyAccMag-meanFreq()"	0.146744616728
1	"LAYING"	"fBodyBodyAccJerkMag-mean()"	-0.6945556134
1	"LAYING"	"fBodyBodyAccJerkMag-std()"	-0.712635347468
1	"LAYING"	"fBodyBodyAccJerkMag-meanFreq()"	0.261701211782
1	"LAYING"	"fBodyBodyGyroMag-mean()"	-0.77406991222
1	"LAYING"	"fBodyBodyGyroMag-std()"	-0.759547186
1	"LAYING"	"fBodyBodyGyroMag-meanFreq()"	-0.112329070326
1	"LAYING"	"fBodyBodyGyroJerkMag-mean()"	-0.8534532658
1	"LAYING"	"fBodyBodyGyroJerkMag-std()"	-0.868873263
1	"LAYING"	"fBodyBodyGyroJerkMag-meanFreq()"	0.164399939708
1	"SITTING"	"tBodyAcc-mean()-X"	0.286685821276596
1	"SITTING"	"tBodyAcc-mean()-Y"	-0.0168202244519149
1	"SITTING"	"tBodyAcc-mean()-Z"	-0.110558772914894
1	"SITTING"	"tBodyAcc-std()-X"	-0.768247972446809
1	"SITTING"	"tBodyAcc-std()-Y"	-0.676967042900638
1	"SITTING"	"tBodyAcc-std()-Z"	-0.705903284340425
1	"SITTING"	"tGravityAcc-mean()-X"	0.694180404468085
1	"SITTING"	"tGravityAcc-mean()-Y"	0.0957600455957447
1	"SITTING"	"tGravityAcc-mean()-Z"	0.203329296389362
1	"SITTING"	"tGravityAcc-std()-X"	-0.984597452978723
1	"SITTING"	"tGravityAcc-std()-Y"	-0.978019924468085
1	"SITTING"	"tGravityAcc-std()-Z"	-0.971772101702128
1	"SITTING"	"tBodyAccJerk-mean()-X"	0.0853424677744681
1	"SITTING"	"tBodyAccJerk-mean()-Y"	0.00546453734255319
1	"SITTING"	"tBodyAccJerk-mean()-Z"	-0.0250678996447021
1	"SITTING"	"tBodyAccJerk-std()-X"	-0.785157410042553
1	"SITTING"	"tBodyAccJerk-std()-Y"	-0.735807921212766
1	"SITTING"	"tBodyAccJerk-std()-Z"	-0.799061025978723
1	"SITTING"	"tBodyGyro-mean()-X"	-0.0539849878595745
1	"SITTING"	"tBodyGyro-mean()-Y"	-0.0565403577659574
1	"SITTING"	"tBodyGyro-mean()-Z"	0.0633269575170213
1	"SITTING"	"tBodyGyro-std()-X"	-0.792669384893617
1	"SITTING"	"tBodyGyro-std()-Y"	-0.73233303993617
1	"SITTING"	"tBodyGyro-std()-Z"	-0.764144508008511
1	"SITTING"	"tBodyGyroJerk-mean()-X"	-0.098502381212766
1	"SITTING"	"tBodyGyroJerk-mean()-Y"	-0.0282014108361702
1	"SITTING"	"tBodyGyroJerk-mean()-Z"	-0.0577870721212766
1	"SITTING"	"tBodyGyroJerk-std()-X"	-0.813930624680851
1	"SITTING"	"tBodyGyroJerk-std()-Y"	-0.783154995468085
1	"SITTING"	"tBodyGyroJerk-std()-Z"	-0.83065737106383
1	"SITTING"	"tBodyAccMag-mean()"	-0.712729723723404
